Class,Property,Corporate Body Classification,Corporate Body,Country,Currencies,Languages,Membership,Places,Sites
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/dateSubmitted,0.956522,0.988072,0.989437,0.100694,0.946564,0.875,1.0,0.997525
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#topConceptOf,0.043478,0.172962,0.816901,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#startDate,1.0,0.999337,0.996479,1.0,1.0,1.0,1.0,0.997525
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#xlDefinition,0.717391,0.472498,0.010563,0.96875,0.054659,0.875,1.71592,0.0
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/created,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/euvoc#status,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#broader,0.956522,0.8277,0.183099,0.0,0.0,0.0,0.0,0.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#notation,0.304348,1.003976,5.130282,1.618056,2.193324,0.0,2.429739,1.670792
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/op-code,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/deprecated,1.0,0.999337,0.996479,1.0,1.0,1.0,1.0,0.997525
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/resource/authority/op-code,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#prefLabel,24.0,23.06892,34.80634,23.26389,2.094155,24.0,7.556256,1.705446
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#definition,0.717391,0.456594,0.007042,0.96875,0.054659,0.875,1.71592,0.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#prefLabel,24.0,23.06892,34.80634,23.26389,2.094155,24.0,7.556256,1.705446
http://www.w3.org/2004/02/skos/core#Concept,http://purl.org/dc/terms/modified,0.173913,0.0,0.0,0.034722,0.0,0.5,0.06746,0.0
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2008/05/skos-xl#altLabel,25.43478,16.24718,85.59155,27.68403,1.05686,0.125,1.29972,0.25495
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/op-mapped-code,0.282609,1.315441,4.309859,0.0,1.194302,0.0,0.162698,1.784653
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#inScheme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/authority-code,1.0,0.999337,0.996479,1.0,1.0,1.0,1.0,0.997525
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/2004/02/skos/core#altLabel,25.3913,0.026508,0.0,27.49653,0.0,0.125,0.196078,0.0
http://www.w3.org/2004/02/skos/core#Concept,http://publications.europa.eu/ontology/authority/start.use,1.0,0.999337,0.996479,1.0,1.0,1.0,1.0,0.997525
http://www.w3.org/2004/02/skos/core#Concept,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://publications.europa.eu/ontology/euvoc#startDate,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2002/07/owl#imports,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/title,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2002/07/owl#versionInfo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/created,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2000/01/rdf-schema#comment,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://publications.europa.eu/ontology/authority/table.version.number,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2008/05/skos-xl#prefLabel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2000/01/rdf-schema#label,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2004/02/skos/core#prefLabel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://purl.org/dc/terms/identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://publications.europa.eu/ontology/authority/table.id,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://publications.europa.eu/ontology/authority/prefLabel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
http://www.w3.org/2004/02/skos/core#ConceptScheme,http://www.w3.org/2002/07/owl#versionIRI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
